division_gid,motion_gid,chamber,__index_level_0__
uk.org.publicwhip/debate/2019-01-08b.243.1,uk.org.publicwhip/debate/2019-01-08b.212.3.1,house-of-commons,52
uk.org.publicwhip/debate/2019-01-08b.272.2,uk.org.publicwhip/debate/2019-01-08b.248.1.19,house-of-commons,53
uk.org.publicwhip/debate/2019-01-08b.277.3,uk.org.publicwhip/debate/2019-01-08b.277.2.1,house-of-commons,55
uk.org.publicwhip/debate/2019-01-08b.282.0,uk.org.publicwhip/debate/2019-01-08b.248.1.51,house-of-commons,54
uk.org.publicwhip/debate/2019-01-08b.305.0,uk.org.publicwhip/debate/2019-01-08b.304.2.7,house-of-commons,56
uk.org.publicwhip/debate/2019-01-08b.312.3,uk.org.publicwhip/debate/2019-01-08b.312.2.1,house-of-commons,57
uk.org.publicwhip/debate/2019-01-09a.385.2,uk.org.publicwhip/debate/2019-01-09a.385.1.17,house-of-commons,0
uk.org.publicwhip/debate/2019-01-15b.1116.7,uk.org.publicwhip/debate/2019-01-15b.1116.6.2,house-of-commons,48
uk.org.publicwhip/debate/2019-01-15b.1121.0,uk.org.publicwhip/debate/2019-01-15b.1020.1.2,house-of-commons,49
uk.org.publicwhip/debate/2019-01-16d.1268.1,uk.org.publicwhip/debate/2019-01-16d.1171.1.1,house-of-commons,125
uk.org.publicwhip/debate/2019-01-16d.1285.3,uk.org.publicwhip/debate/2019-01-16d.1285.2.1,house-of-commons,127
uk.org.publicwhip/debate/2019-01-16d.1289.2,uk.org.publicwhip/debate/2019-01-16d.1289.1.1,house-of-commons,126
uk.org.publicwhip/debate/2019-01-21a.90.0,uk.org.publicwhip/debate/2019-01-21a.81.6.1,house-of-commons,108
uk.org.publicwhip/debate/2019-01-21a.94.3,uk.org.publicwhip/debate/2019-01-21a.94.2.1,house-of-commons,107
uk.org.publicwhip/debate/2019-01-22c.196.2,uk.org.publicwhip/debate/2019-01-22c.195.4.1,house-of-commons,101
uk.org.publicwhip/debate/2019-01-22c.200.2,uk.org.publicwhip/debate/2019-01-22c.196.3.2,house-of-commons,102
uk.org.publicwhip/debate/2019-01-22c.204.2,uk.org.publicwhip/debate/2019-01-22c.200.3.2,house-of-commons,103
uk.org.publicwhip/debate/2019-01-22c.208.3,uk.org.publicwhip/debate/2019-01-22c.208.0.2,house-of-commons,104
uk.org.publicwhip/debate/2019-01-22c.212.2,uk.org.publicwhip/debate/2019-01-22c.208.4.3,house-of-commons,105
uk.org.publicwhip/debate/2019-01-23b.277.4,uk.org.publicwhip/debate/2019-01-23b.277.2.1,house-of-commons,91
uk.org.publicwhip/debate/2019-01-23b.284.2,uk.org.publicwhip/debate/2019-01-23b.283.11.3,house-of-commons,92
uk.org.publicwhip/debate/2019-01-28b.590.0,uk.org.publicwhip/debate/2019-01-28b.504.2.1,house-of-commons,133
uk.org.publicwhip/debate/2019-01-29b.756.4,uk.org.publicwhip/debate/2019-01-29b.756.3.4,house-of-commons,58
uk.org.publicwhip/debate/2019-01-29b.761.0,uk.org.publicwhip/debate/2019-01-29b.756.5.2,house-of-commons,59
uk.org.publicwhip/debate/2019-01-29b.764.0,uk.org.publicwhip/debate/2019-01-29b.761.1.2,house-of-commons,60
uk.org.publicwhip/debate/2019-01-29b.769.0,uk.org.publicwhip/debate/2019-01-29b.764.1.2,house-of-commons,61
uk.org.publicwhip/debate/2019-01-29b.774.0,uk.org.publicwhip/debate/2019-01-29b.769.1.2,house-of-commons,62
uk.org.publicwhip/debate/2019-01-29b.778.0,uk.org.publicwhip/debate/2019-01-29b.774.1.2,house-of-commons,63
uk.org.publicwhip/debate/2019-01-29b.783.0,uk.org.publicwhip/debate/2019-01-29b.778.1.2,house-of-commons,64
uk.org.publicwhip/debate/2019-01-30a.878.4,uk.org.publicwhip/debate/2019-01-30a.848.5.1,house-of-commons,118
uk.org.publicwhip/debate/2019-01-30a.883.0,uk.org.publicwhip/debate/2019-01-30a.882.2.1,house-of-commons,119
uk.org.publicwhip/debate/2019-01-30a.893.0,uk.org.publicwhip/debate/2019-01-30a.892.8.1,house-of-commons,120
uk.org.publicwhip/debate/2019-01-30a.917.3,uk.org.publicwhip/debate/2019-01-30a.917.2.1,house-of-commons,121
uk.org.publicwhip/debate/2019-01-30a.921.2,uk.org.publicwhip/debate/2019-01-30a.921.1.1,house-of-commons,122
uk.org.publicwhip/debate/2019-01-30a.925.2,uk.org.publicwhip/debate/2019-01-30a.925.1.1,house-of-commons,123
uk.org.publicwhip/debate/2019-01-30a.929.2,uk.org.publicwhip/debate/2019-01-30a.929.1.1,house-of-commons,124
uk.org.publicwhip/debate/2019-02-05d.237.4,uk.org.publicwhip/debate/2019-02-05d.189.0.1,house-of-commons,179
uk.org.publicwhip/debate/2019-02-05d.289.3,uk.org.publicwhip/debate/2019-02-05d.289.4.9,house-of-commons,180
uk.org.publicwhip/debate/2019-02-06a.377.3,uk.org.publicwhip/debate/2019-02-06a.377.2.1,house-of-commons,74
uk.org.publicwhip/debate/2019-02-11b.682.0,uk.org.publicwhip/debate/2019-02-11b.665.1.1,house-of-commons,79
